stock_name,symbol,tv_symbol
AARTI INDUSTRIES LIMITED,AARTIIND,AARTIIND
ABB INDIA LIMITED,ABB,ABB
ABBOTT INDIA LIMITED,ABBOTINDIA,ABBOTINDIA
ACC LIMITED,ACC,ACC
ADANI ENTERPRISES LIMITED,ADANIENT,ADANIENT
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,ADANIPORTS,ADANIPORTS
ADITYA BIRLA CAPITAL LIMITED,ABCAPITAL,ABCAPITAL
ADITYA BIRLA FASHION AND RETAIL LIMITED,ABFRL,ABFRL
ALKEM LABORATORIES LIMITED,ALKEM,ALKEM
AMBUJA CEMENTS LIMITED,AMBUJACEM,AMBUJACEM
APOLLO HOSPITALS ENTERPRISE LIMITED,APOLLOHOSP,APOLLOHOSP
APOLLO TYRES LIMITED,APOLLOTYRE,APOLLOTYRE
ASHOK LEYLAND LIMITED,ASHOKLEY,ASHOKLEY
ASIAN PAINTS LIMITED,ASIANPAINT,ASIANPAINT
ASTRAL LIMITED,ASTRAL,ASTRAL
ATUL LIMITED,ATUL,ATUL
AU SMALL FINANCE BANK LIMITED,AUBANK,AUBANK
AUROBINDO PHARMA LIMITED,AUROPHARMA,AUROPHARMA
AXIS BANK LIMITED,AXISBANK,AXISBANK
BAJAJ AUTO LIMITED,BAJAJ-AUTO,BAJAJ-AUTO
BAJAJ FINANCE LIMITED,BAJFINANCE,BAJFINANCE
BAJAJ FINSERV LIMITED,BAJAJFINSV,BAJAJFINSV
BALKRISHNA INDUSTRIES LIMITED,BALKRISIND,BALKRISIND
BALRAMPUR CHINI MILLS LIMITED,BALRAMCHIN,BALRAMCHIN
BANDHAN BANK LIMITED,BANDHANBNK,BANDHANBNK
BANK OF BARODA,BANKBARODA,BANKBARODA
BATA INDIA LIMITED,BATAINDIA,BATAINDIA
BERGER PAINTS (I) LIMITED,BERGEPAINT,BERGEPAINT
BHARAT ELECTRONICS LIMITED,BEL,BEL
BHARAT FORGE LIMITED,BHARATFORG,BHARATFORG
BHARAT HEAVY ELECTRICALS LIMITED,BHEL,BHEL
BHARAT PETROLEUM CORPORATION LIMITED,BPCL,BPCL
BHARTI AIRTEL LIMITED,BHARTIARTL,BHARTIARTL
BIOCON LIMITED,BIOCON,BIOCON
BIRLASOFT LIMITED,BSOFT,BSOFT
BOSCH LIMITED,BOSCHLTD,BOSCHLTD
BRITANNIA INDUSTRIES LIMITED,BRITANNIA,BRITANNIA
CAN FIN HOMES LIMITED,CANFINHOME,CANFINHOME
CANARA BANK,CANBK,CANBK
CHAMBAL FERTILIZERS & CHEMICALS LIMITED,CHAMBLFERT,CHAMBLFERT
CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,CHOLAFIN,CHOLAFIN
CIPLA LIMITED,CIPLA,CIPLA
CITY UNION BANK LIMITED,CUB,CUB
COAL INDIA LIMITED,COALINDIA,COALINDIA
COFORGE LIMITED,COFORGE,COFORGE
COLGATE PALMOLIVE (INDIA) LIMITED,COLPAL,COLPAL
CONTAINER CORPORATION OF INDIA LIMITED,CONCOR,CONCOR
COROMANDEL INTERNATIONAL LIMITED,COROMANDEL,COROMANDEL
CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,CROMPTON,CROMPTON
CUMMINS INDIA LIMITED,CUMMINSIND,CUMMINSIND
DABUR INDIA LIMITED,DABUR,DABUR
DALMIA BHARAT LIMITED,DALBHARAT,DALBHARAT
DEEPAK NITRITE LIMITED,DEEPAKNTR,DEEPAKNTR
DELTA CORP LIMITED,DELTACORP,DELTACORP
DIVI'S LABORATORIES LIMITED,DIVISLAB,DIVISLAB
DIXON TECHNOLOGIES (INDIA) LIMITED,DIXON,DIXON
DLF LIMITED,DLF,DLF
DR. LAL PATH LABS LTD.,LALPATHLAB,LALPATHLAB
DR. REDDY'S LABORATORIES LIMITED,DRREDDY,DRREDDY
EICHER MOTORS LIMITED,EICHERMOT,EICHERMOT
ESCORTS KUBOTA LIMITED,ESCORTS,ESCORTS
EXIDE INDUSTRIES LIMITED,EXIDEIND,EXIDEIND
FIRSTSOURCE SOLUTIONS LIMITED,FSL,FSL
GAIL (INDIA) LIMITED,GAIL,GAIL
GLENMARK PHARMACEUTICALS LIMITED,GLENMARK,GLENMARK
GMR INFRASTRUCTURE LIMITED,GMRINFRA,GMRINFRA
GODREJ CONSUMER PRODUCTS LIMITED,GODREJCP,GODREJCP
GODREJ PROPERTIES LIMITED,GODREJPROP,GODREJPROP
GRANULES INDIA LIMITED,GRANULES,GRANULES
GRASIM INDUSTRIES LIMITED,GRASIM,GRASIM
GUJARAT GAS LIMITED,GUJGASLTD,GUJGASLTD
GUJARAT NARMADA VALLEY FERTILIZERS AND CHEMICALS LIMITED,GNFC,GNFC
HAVELLS INDIA LIMITED,HAVELLS,HAVELLS
HCL TECHNOLOGIES LIMITED,HCLTECH,HCLTECH
HDFC ASSET MANAGEMENT COMPANY LIMITED,HDFCAMC,HDFCAMC
HDFC BANK LIMITED,HDFCBANK,HDFCBANK
HDFC LIFE INSURANCE COMPANY LIMITED,HDFCLIFE,HDFCLIFE
HERO MOTOCORP LIMITED,HEROMOTOCO,HEROMOTOCO
HINDALCO INDUSTRIES LIMITED,HINDALCO,HINDALCO
HINDUSTAN AERONAUTICS LIMITED,HAL,HAL
HINDUSTAN COPPER LIMITED,HINDCOPPER,HINDCOPPER
HINDUSTAN PETROLEUM CORPORATION LIMITED,HINDPETRO,HINDPETRO
HINDUSTAN UNILEVER LIMITED,HINDUNILVR,HINDUNILVR
HONEYWELL AUTOMATION INDIA LIMITED,HONAUT,HONAUT
HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED,HDFC,HDFC
ICICI BANK LIMITED,ICICIBANK,ICICIBANK
ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,ICICIGI,ICICIGI
ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,ICICIPRULI,ICICIPRULI
IDFC FIRST BANK LIMITED,IDFCFIRSTB,IDFCFIRSTB
IDFC LIMITED,IDFC,IDFC
INDIABULLS HOUSING FINANCE LIMITED,IBULHSGFIN,IBULHSGFIN
INDIAMART INTERMESH LIMITED,INDIAMART,INDIAMART
INDIAN ENERGY EXCHANGE LIMITED,IEX,IEX
INDIAN OIL CORPORATION LIMITED,IOC,IOC
INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,IRCTC,IRCTC
INDRAPRASTHA GAS LIMITED,IGL,IGL
INDUS TOWERS LIMITED,INDUSTOWER,INDUSTOWER
INDUSIND BANK LIMITED,INDUSINDBK,INDUSINDBK
INFO EDGE (INDIA) LIMITED,NAUKRI,NAUKRI
INFOSYS LIMITED,INFY,INFY
INTELLECT DESIGN ARENA LIMITED,INTELLECT,INTELLECT
INTERGLOBE AVIATION LIMITED,INDIGO,INDIGO
IPCA LABORATORIES LIMITED,IPCALAB,IPCALAB
ITC LIMITED,ITC,ITC
JINDAL STEEL & POWER LIMITED,JINDALSTEL,JINDALSTEL
JK CEMENT LIMITED,JKCEMENT,JKCEMENT
JSW STEEL LIMITED,JSWSTEEL,JSWSTEEL
JUBILANT FOODWORKS LIMITED,JUBLFOOD,JUBLFOOD
KOTAK MAHINDRA BANK LIMITED,KOTAKBANK,KOTAKBANK
L&T FINANCE HOLDINGS LIMITED,L&TFH,L_TFH
L&T TECHNOLOGY SERVICES LIMITED,LTTS,LTTS
LTIMINDTREE LIMITED,LTIM,LTIM
LARSEN & TOUBRO LIMITED,LT,LT
LAURUS LABS LIMITED,LAURUSLABS,LAURUSLABS
LIC HOUSING FINANCE LIMITED,LICHSGFIN,LICHSGFIN
LUPIN LIMITED,LUPIN,LUPIN
MAHANAGAR GAS LIMITED,MGL,MGL
MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,M&MFIN,M_MFIN
MAHINDRA & MAHINDRA LIMITED,M&M,M_M
MANAPPURAM FINANCE LIMITED,MANAPPURAM,MANAPPURAM
MARICO LIMITED,MARICO,MARICO
MARUTI SUZUKI INDIA LIMITED,MARUTI,MARUTI
MAX FINANCIAL SERVICES LIMITED,MFSL,MFSL
METROPOLIS HEALTHCARE LIMITED,METROPOLIS,METROPOLIS
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,MOTHERSON,MOTHERSON
MPHASIS LIMITED,MPHASIS,MPHASIS
MRF LIMITED,MRF,MRF
MULTI COMMODITY EXCHANGE OF INDIA LIMITED,MCX,MCX
MUTHOOT FINANCE LIMITED,MUTHOOTFIN,MUTHOOTFIN
NATIONAL ALUMINIUM COMPANY LIMITED,NATIONALUM,NATIONALUM
NAVIN FLUORINE INTERNATIONAL LIMITED,NAVINFLUOR,NAVINFLUOR
NESTLE INDIA LIMITED,NESTLEIND,NESTLEIND
NMDC LIMITED,NMDC,NMDC
NTPC LIMITED,NTPC,NTPC
OBEROI REALTY LIMITED,OBEROIRLTY,OBEROIRLTY
OIL & NATURAL GAS CORPORATION LIMITED,ONGC,ONGC
ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,OFSS,OFSS
PAGE INDUSTRIES LIMITED,PAGEIND,PAGEIND
PERSISTENT SYSTEMS LIMITED,PERSISTENT,PERSISTENT
PETRONET LNG LIMITED,PETRONET,PETRONET
PI INDUSTRIES LIMITED,PIIND,PIIND
PIDILITE INDUSTRIES LIMITED,PIDILITIND,PIDILITIND
PIRAMAL ENTERPRISES LIMITED,PEL,PEL
POLYCAB INDIA LIMITED,POLYCAB,POLYCAB
POWER FINANCE CORPORATION LIMITED,PFC,PFC
POWER GRID CORPORATION OF INDIA LIMITED,POWERGRID,POWERGRID
PUNJAB NATIONAL BANK,PNB,PNB
PVR LIMITED,PVR,PVR
RAIN INDUSTRIES LIMITED,RAIN,RAIN
RBL BANK LIMITED,RBLBANK,RBLBANK
REC LIMITED,RECLTD,RECLTD
RELIANCE INDUSTRIES LIMITED,RELIANCE,RELIANCE
SBI CARDS AND PAYMENT SERVICES LIMITED,SBICARD,SBICARD
SBI LIFE INSURANCE COMPANY LIMITED,SBILIFE,SBILIFE
SHREE CEMENT LIMITED,SHREECEM,SHREECEM
SHRIRAM FINANCE LIMITED,SHRIRAMFIN,SHRIRAMFIN
SIEMENS LIMITED,SIEMENS,SIEMENS
SRF LIMITED,SRF,SRF
STATE BANK OF INDIA,SBIN,SBIN
STEEL AUTHORITY OF INDIA LIMITED,SAIL,SAIL
SUN PHARMACEUTICAL INDUSTRIES LIMITED,SUNPHARMA,SUNPHARMA
SUN TV NETWORK LIMITED,SUNTV,SUNTV
SYNGENE INTERNATIONAL LIMITED,SYNGENE,SYNGENE
TATA CHEMICALS LIMITED,TATACHEM,TATACHEM
TATA COMMUNICATIONS LIMITED,TATACOMM,TATACOMM
TATA CONSULTANCY SERVICES LIMITED,TCS,TCS
TATA CONSUMER PRODUCTS LIMITED,TATACONSUM,TATACONSUM
TATA MOTORS LIMITED,TATAMOTORS,TATAMOTORS
TATA POWER COMPANY LIMITED,TATAPOWER,TATAPOWER
TATA STEEL LIMITED,TATASTEEL,TATASTEEL
TECH MAHINDRA LIMITED,TECHM,TECHM
THE FEDERAL BANKÆ LIMITED,FEDERALBNK,FEDERALBNK
THE INDIA CEMENTS LIMITED,INDIACEM,INDIACEM
THE INDIAN HOTELS COMPANY LIMITED,INDHOTEL,INDHOTEL
THE RAMCO CEMENTS LIMITED,RAMCOCEM,RAMCOCEM
TITAN COMPANY LIMITED,TITAN,TITAN
TORRENT PHARMACEUTICALS LIMITED,TORNTPHARM,TORNTPHARM
TORRENT POWER LIMITED,TORNTPOWER,TORNTPOWER
TRENT LIMITED,TRENT,TRENT
TVS MOTOR COMPANY LIMITED,TVSMOTOR,TVSMOTOR
ULTRATECH CEMENT LIMITED,ULTRACEMCO,ULTRACEMCO
UNITED BREWERIES LIMITED,UBL,UBL
UNITED SPIRITS LIMITED,MCDOWELL-N,MCDOWELL-N
UPL LIMITED,UPL,UPL
VEDANTA LIMITED,VEDL,VEDL
VODAFONE IDEA LIMITED,IDEA,IDEA
VOLTAS LIMITED,VOLTAS,VOLTAS
WHIRLPOOL OF INDIA LIMITED,WHIRLPOOL,WHIRLPOOL
WIPRO LIMITED,WIPRO,WIPRO
ZEE ENTERTAINMENT ENTERPRISES LIMITED,ZEEL,ZEEL
ZYDUS LIFESCIENCES LIMITED,ZYDUSLIFE,ZYDUSLIFE
